subject,toneaccError,toneMathError,ToneAbsolute,TonePartial,TonePartialB1,TonePartialB2,TonePartialB3,ToneSpeedErr,OspanAccError,OspanMathError,MeanOspanAbsoluteScore,MeanOspanPartialScore,MeanOspanPartialScoreBlock1,MeanOspanPartialScoreBlock2,MeanOspanPartialScoreBlock3,OspanSpeedError,symmAccError,SymmSpeedError,MeanSspanAbsoluteScore,MeanSspanPartialScore,MeanSspanPartialScoreBlock1,MeanSspanPartialScoreBlock2,MeanSspanPartialScoreBlock3,MeanSymmErrorTotal
1038,4,9,19,50,13,18,19,5,7,7,68,74,25,24,25,0,2,4,12,30,9,10,11,6
1039,6,7,37,61,21,21,19,1,3,5,61,68,20,23,25,2,1,0,28,38,13,11,14,1
1040,2,4,42,56,20,20,16,2, , , , , , , , ,1,0,19,31,7,12,12,1
1041,0,3,38,66,23,20,23,3, , , , , , , , ,6,2,11,27,12,5,10,8
1042,5,6,53,65,25,19,21,1,3,3,68,73,25,23,25,0,1,0,29,37,12,13,12,1
1043,2,2,8,46,12,18,16,0,0,0,50,64,20,22,22,0,1,1,16,28,9,9,10,2
1044,2,4,18,39,14,16,9,2,1,5,57,64,19,23,22,4,1,1,15,22,4,8,10,2
1045,6,6,7,28,8,8,12,0,8,9,0,12,9,1,2,1,3,1,7,16,4,4,8,4
1046,8,9,50,61,18,19,24,1,2,3,37,58,20,19,19,1,5,1,16,30,11,8,11,6
1047,2,3,50,66,23,20,23,1,3,3,33,59,18,24,17,0,1,0,27,32,10,10,12,1
1048,3,4,28,49,16,15,18,1,2,6,61,70,24,21,25,4,1,0,18,29,9,8,12,1
1049,3,6,23,58,22,17,19,3,2,6,41,60,16,20,24,4,2,0,13,28,7,11,10,2
1050,4,6,50,62,18,21,23,2,4,4,8,25,14,4,7,0,2,3,8,18,6,9,3,5
1051,5,5,0,24,5,6,13,0,9,15,0,23,13,7,3,6,5,0,17,33,10,12,11,5
1052,3,6,33,58,18,19,21,3,7,13,24,54,22,16,16,6,1,0,35,40,13,13,14,1
